classname,parent,declared_model,resolved_model,source_file
ACOGOptic,ItemOptics_Base,\DZ\weapons\attachments\optics\optic_acog.p3d,\DZ\weapons\attachments\optics\optic_acog.p3d,P:\DZ\weapons\attachments\optics\config.cpp
ACOGOptic_6x,ItemOptics_Base,\DZ\weapons\attachments\optics\optic_acog6x.p3d,\DZ\weapons\attachments\optics\optic_acog6x.p3d,P:\DZ\weapons\attachments\optics\config.cpp
AirborneMask,Clothing,\DZ\characters\masks\airborne_mask_g.p3d,\DZ\characters\masks\airborne_mask_g.p3d,P:\DZ\characters\masks\config.cpp
AK74_Hndgrd,Inventory_Base,\DZ\weapons\attachments\support\handguard_ak_wood.p3d,\DZ\weapons\attachments\support\handguard_ak_wood.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK74_Hndgrd_Black,AK74_Hndgrd,,\DZ\weapons\attachments\support\handguard_ak_wood.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK74_Hndgrd_Camo,AK74_Hndgrd,,\DZ\weapons\attachments\support\handguard_ak_wood.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK74_WoodBttstck,Inventory_Base,\DZ\weapons\attachments\support\buttstock_ak_wood.p3d,\DZ\weapons\attachments\support\buttstock_ak_wood.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK74_WoodBttstck_Black,AK74_WoodBttstck,,\DZ\weapons\attachments\support\buttstock_ak_wood.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK74_WoodBttstck_Camo,AK74_WoodBttstck,,\DZ\weapons\attachments\support\buttstock_ak_wood.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK_Bayonet,Inventory_Base,\dz\weapons\attachments\muzzle\bayonet_ak.p3d,\dz\weapons\attachments\muzzle\bayonet_ak.p3d,P:\DZ\weapons\attachments\muzzle\config.cpp
AK_FoldingBttstck,Inventory_Base,\DZ\weapons\attachments\support\buttstock_ak_folding.p3d,\DZ\weapons\attachments\support\buttstock_ak_folding.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK_FoldingBttstck_Black,AK_FoldingBttstck,,\DZ\weapons\attachments\support\buttstock_ak_folding.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK_FoldingBttstck_Green,AK_FoldingBttstck,,\DZ\weapons\attachments\support\buttstock_ak_folding.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK_PlasticBttstck,Inventory_Base,\DZ\weapons\attachments\support\buttstock_ak_plastic.p3d,\DZ\weapons\attachments\support\buttstock_ak_plastic.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK_PlasticBttstck_Black,AK_PlasticBttstck,,\DZ\weapons\attachments\support\buttstock_ak_plastic.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK_PlasticBttstck_Green,AK_PlasticBttstck,,\DZ\weapons\attachments\support\buttstock_ak_plastic.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK_PlasticHndgrd,Inventory_Base,\DZ\weapons\attachments\support\handguard_ak_plastic.p3d,\DZ\weapons\attachments\support\handguard_ak_plastic.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK_RailHndgrd,Inventory_Base,\DZ\weapons\attachments\support\handguard_ak_rail.p3d,\DZ\weapons\attachments\support\handguard_ak_rail.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK_RailHndgrd_Black,AK_RailHndgrd,,\DZ\weapons\attachments\support\handguard_ak_rail.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK_RailHndgrd_Green,AK_RailHndgrd,,\DZ\weapons\attachments\support\handguard_ak_rail.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK_Suppressor,ItemSuppressor,\dz\weapons\attachments\muzzle\suppressor_545.p3d,\dz\weapons\attachments\muzzle\suppressor_545.p3d,P:\DZ\weapons\attachments\muzzle\config.cpp
AK_WoodBttstck,Inventory_Base,\DZ\weapons\attachments\support\buttstock_ak_wood.p3d,\DZ\weapons\attachments\support\buttstock_ak_wood.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK_WoodBttstck_Black,AK_WoodBttstck,,\DZ\weapons\attachments\support\buttstock_ak_wood.p3d,P:\DZ\weapons\attachments\support\config.cpp
AK_WoodBttstck_Camo,AK_WoodBttstck,,\DZ\weapons\attachments\support\buttstock_ak_wood.p3d,P:\DZ\weapons\attachments\support\config.cpp
