object_name	pathname	database_file	object_id	status
CraterLong	images/data/data/particleeffects/craterlong/craterlong.jpg	database/data/data/ParticleEffects/CraterLong/objects.json	dzobj_t68jfbnb1m	missing_file
craterlong.p3d	images/data/data/particleeffects/craterlong/craterlong.p3d.jpg	database/data/data/ParticleEffects/CraterLong/objects.json	dzobj_4w41smiydd	missing_file
piss_ground.p3d	images/data/data/particleeffects/excretion/piss_ground.p3d.jpg	database/data/data/ParticleEffects/Excretion/objects.json	dzobj_rru1eh75vg	missing_file
piss_particle.p3d	images/data/data/particleeffects/excretion/piss_particle.p3d.jpg	database/data/data/ParticleEffects/Excretion/objects.json	dzobj_5f67yqe8wg	missing_file
PissGround	images/data/data/particleeffects/excretion/pissground.jpg	database/data/data/ParticleEffects/Excretion/objects.json	dzobj_11cypyr6zc	missing_file
shit_ground.p3d	images/data/data/particleeffects/excretion/shit_ground.p3d.jpg	database/data/data/ParticleEffects/Excretion/objects.json	dzobj_xo4von0u6p	missing_file
shit_particle.p3d	images/data/data/particleeffects/excretion/shit_particle.p3d.jpg	database/data/data/ParticleEffects/Excretion/objects.json	dzobj_h53ny0sayc	missing_file
ShitGround	images/data/data/particleeffects/excretion/shitground.jpg	database/data/data/ParticleEffects/Excretion/objects.json	dzobj_wjtkaw70k8	missing_file
vomit_blood_ground.p3d	images/data/data/particleeffects/excretion/vomit_blood_ground.p3d.jpg	database/data/data/ParticleEffects/Excretion/objects.json	dzobj_46iri27hxj	missing_file
vomit_blood_particle.p3d	images/data/data/particleeffects/excretion/vomit_blood_particle.p3d.jpg	database/data/data/ParticleEffects/Excretion/objects.json	dzobj_tvm54rax8d	missing_file
vomit_ground.p3d	images/data/data/particleeffects/excretion/vomit_ground.p3d.jpg	database/data/data/ParticleEffects/Excretion/objects.json	dzobj_oy53ksqsof	missing_file
vomit_particle.p3d	images/data/data/particleeffects/excretion/vomit_particle.p3d.jpg	database/data/data/ParticleEffects/Excretion/objects.json	dzobj_iluulxp1c2	missing_file
VomitBloodGround	images/data/data/particleeffects/excretion/vomitbloodground.jpg	database/data/data/ParticleEffects/Excretion/objects.json	dzobj_6mfxwhdgye	missing_file
VomitGround	images/data/data/particleeffects/excretion/vomitground.jpg	database/data/data/ParticleEffects/Excretion/objects.json	dzobj_wreably57z	missing_file
AnniversaryMusicSource	images/data/anniversarymusicsource.jpg	database/data/objects.json	dzobj_ai1hpnboxb	missing_file
AnniversarySpotLight	images/data/anniversaryspotlight.jpg	database/data/objects.json	dzobj_mpxxhijvsc	missing_file
ExplosionTest	images/data/explosiontest.jpg	database/data/objects.json	dzobj_p8ygkb0p9s	missing_file
book_kniga.p3d	images/gear/books/book_kniga.p3d.jpg	database/gear/books/objects.json	dzobj_9im5szrnbm	missing_file
ProxyBook_kniga	images/gear/books/proxybook_kniga.jpg	database/gear/books/objects.json	dzobj_erekfa38mz	missing_file
camo_net_p.p3d	images/gear/camping/camonetshelter/camonetshelter.jpg	database/gear/camping/objects.json	dzobj_6eoho4qyyb	missing_file
Camonet	images/gear/camping/camonetshelter/camonetshelter.jpg	database/gear/camping/objects.json	dzobj_wzgl7nx42p	missing_file
canvas.p3d	images/gear/camping/canvas.p3d.jpg	database/gear/camping/objects.json	dzobj_c55au9b8ms	missing_file
dz_flag.p3d	images/gear/camping/dz_flag.p3d.jpg	database/gear/camping/objects.json	dzobj_xde88rqdgw	missing_file
hbox_folded.p3d	images/gear/camping/hbox_folded.p3d.jpg	database/gear/camping/objects.json	dzobj_5tjwnqkni5	missing_file
hbox_unfolded_empty.p3d	images/gear/camping/hbox_unfolded_empty.p3d.jpg	database/gear/camping/objects.json	dzobj_2temo9delh	missing_file
hbox_unfolded_filled.p3d	images/gear/camping/hbox_unfolded_filled.p3d.jpg	database/gear/camping/objects.json	dzobj_2m5zh8aapo	missing_file
improvised_tent_01.p3d	images/gear/camping/improvised_tent_01.p3d.jpg	database/gear/camping/objects.json	dzobj_0x6gjfulq3	missing_file
improvised_tent_02.p3d	images/gear/camping/improvised_tent_02.p3d.jpg	database/gear/camping/objects.json	dzobj_70t34ndks2	missing_file
improvised_tent_g_01.p3d	images/gear/camping/improvised_tent_g_01.p3d.jpg	database/gear/camping/objects.json	dzobj_7qz1s9pvbx	missing_file
improvised_tent_g_02.p3d	images/gear/camping/improvised_tent_g_02.p3d.jpg	database/gear/camping/objects.json	dzobj_c4zateoc9n	missing_file
shelter_frame.p3d	images/gear/camping/shelter_frame.p3d.jpg	database/gear/camping/objects.json	dzobj_02kep9nxai	missing_file
string_lights_p.p3d	images/gear/camping/string_lights_p.p3d.jpg	database/gear/camping/objects.json	dzobj_r6j29c42f9	missing_file
t_fagussylvatica_2fmesh.p3d	images/gear/camping/t_fagussylvatica_2fmesh.p3d.jpg	database/gear/camping/objects.json	dzobj_unefq7xgwx	missing_file
t_fagussylvatica_2fproxy.p3d	images/gear/camping/t_fagussylvatica_2fproxy.p3d.jpg	database/gear/camping/objects.json	dzobj_s2p7syla8y	missing_file
tent_cluttercutter.p3d	images/gear/camping/tent_cluttercutter.p3d.jpg	database/gear/camping/objects.json	dzobj_mpd3vfax2z	missing_file
tent_large_cluttercutter.p3d	images/gear/camping/tent_large_cluttercutter.p3d.jpg	database/gear/camping/objects.json	dzobj_lf9a3k6mbx	missing_file
tent_medium_packed.p3d	images/gear/camping/tent_medium_packed.p3d.jpg	database/gear/camping/objects.json	dzobj_auydio7lb3	missing_file
tent_medium_pitched.p3d	images/gear/camping/tent_medium_pitched.p3d.jpg	database/gear/camping/objects.json	dzobj_5b8o23gs8k	missing_file
territory_flag_kit_deployed.p3d	images/gear/camping/territory_flag_kit_deployed.p3d.jpg	database/gear/camping/objects.json	dzobj_o381k8fere	missing_file
territory_flag_kit_folded.p3d	images/gear/camping/territory_flag_kit_folded.p3d.jpg	database/gear/camping/objects.json	dzobj_orcojt6gb9	missing_file
territory_flag_kit_placing.p3d	images/gear/camping/territoryflagkitplacing.jpg	database/gear/camping/objects.json	dzobj_qw2nuvm6te	missing_file
arrow_shaft.p3d	images/gear/consumables/arrow_shaft.p3d.jpg	database/gear/consumables/objects.json	dzobj_r3dr6xzyh9	missing_file
bandanafh_ground.p3d	images/gear/consumables/bandanafh_ground.p3d.jpg	database/gear/consumables/objects.json	dzobj_ue018v5lh2	missing_file
gascannisterlarge.p3d	images/gear/consumables/gascannisterlarge.p3d.jpg	database/gear/consumables/objects.json	dzobj_8vdu76sjjj	missing_file
metal_sheet_pile.p3d	images/gear/consumables/metal_sheet_pile.p3d.jpg	database/gear/consumables/objects.json	dzobj_odsn879d06	missing_file
MouthRag	images/gear/consumables/mouthrag.jpg	database/gear/consumables/objects.json	dzobj_e8h2ezfx4n	missing_file
oil_bottle.p3d	images/gear/consumables/oil_bottle.p3d.jpg	database/gear/consumables/objects.json	dzobj_4za0y8nuac	missing_file
pelt_bull.p3d	images/gear/consumables/pelt_bull.p3d.jpg	database/gear/consumables/objects.json	dzobj_16j4u8d2vu	missing_file
pelt_deer_fem.p3d	images/gear/consumables/pelt_deer_fem.p3d.jpg	database/gear/consumables/objects.json	dzobj_dannpodd9d	missing_file
pelt_horse.p3d	images/gear/consumables/pelt_horse.p3d.jpg	database/gear/consumables/objects.json	dzobj_2w251xx4w8	missing_file
