id,objectName,modelType,path,image,bboxStatus,dimensionsSource,dimensionsVisual,bboxMinVisual,bboxMaxVisual,bboxLinkedFromId,bboxLinkedFromObject,bboxLinkMethod,donorPath,donorImage,donorModelType,donorDimensionsVisual
dzobj_oiixzrxexd,ACOGOptic,Config,dz/weapons/attachments/optics,images/weapons/attachments/optics/acogoptic.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.1041018608957529,0.41662219166755676,0.44938141852617264]","[-0.013986380770802498,-0.06878212094306946,-0.4087029695510864]","[0.09011548012495041,0.3478400707244873,0.04067844897508621]",dzobj_3o2qec044t,optic_acog.p3d,exact_image,dz/weapons/attachments/optics,images/weapons/attachments/optics/acogoptic.jpg,Raw P3D,"[0.1041018608957529,0.41662219166755676,0.44938141852617264]"
dzobj_wz812kvzto,ACOGOptic_6x,Config,dz/weapons/attachments/optics,images/weapons/attachments/optics/acogoptic_6x.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.14788061194121838,0.7883866801857948,0.44938141852617264]","[-0.01465989463031292,-0.10838667303323746,-0.4087029695510864]","[0.13322071731090546,0.6800000071525574,0.04067844897508621]",dzobj_zaj6vymhun,optic_acog6x.p3d,exact_image,dz/weapons/attachments/optics,images/weapons/attachments/optics/acogoptic_6x.jpg,Raw P3D,"[0.14788061194121838,0.7883866801857948,0.44938141852617264]"
dzobj_1ugix07ogl,AirborneMask,Config,dz/characters/masks,images/characters/masks/airbornemask/airbornemask.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[0.3378400206565857,0.7210903018712997,0.41940343379974365]","[-0.16892001032829285,-0.06116054952144623,-0.20510807633399963]","[0.16892001032829285,0.6599297523498535,0.21429535746574402]",dzobj_bzosr5qhr2,airborne_mask_g.p3d,exact_image,dz/characters/masks,images/characters/masks/airbornemask/airbornemask.jpg,Raw P3D,"[0.3378400206565857,0.7210903018712997,0.41940343379974365]"
dzobj_jhz16euycg,AK101,Config,dz/weapons/firearms/ak101,images/weapons/firearms/ak101.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[3.7129578590393066,0.8214897811412811,1.9992471933364868]","[-2.24887752532959,-0.2773672640323639,-1.009432315826416]","[1.4640803337097168,0.5441225171089172,0.9898148775100708]",dzobj_floy3q0x6g,ak101.p3d,exact_image,dz/weapons/firearms/ak101,images/weapons/firearms/ak101.jpg,Raw P3D,"[3.7129578590393066,0.8214897811412811,1.9992471933364868]"
dzobj_7pcawtzxal,AK101_Black,Config,dz/weapons/firearms/ak101,images/weapons/firearms/ak101.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[3.7129578590393066,0.8214897811412811,1.9992471933364868]","[-2.24887752532959,-0.2773672640323639,-1.009432315826416]","[1.4640803337097168,0.5441225171089172,0.9898148775100708]",dzobj_floy3q0x6g,ak101.p3d,exact_image,dz/weapons/firearms/ak101,images/weapons/firearms/ak101.jpg,Raw P3D,"[3.7129578590393066,0.8214897811412811,1.9992471933364868]"
dzobj_09gu3s9yrd,AK101_Green,Config,dz/weapons/firearms/ak101,images/weapons/firearms/ak101.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[3.7129578590393066,0.8214897811412811,1.9992471933364868]","[-2.24887752532959,-0.2773672640323639,-1.009432315826416]","[1.4640803337097168,0.5441225171089172,0.9898148775100708]",dzobj_floy3q0x6g,ak101.p3d,exact_image,dz/weapons/firearms/ak101,images/weapons/firearms/ak101.jpg,Raw P3D,"[3.7129578590393066,0.8214897811412811,1.9992471933364868]"
dzobj_97rtirivi5,AKM,Config,dz/weapons/firearms/akm,images/weapons/firearms/akm.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[3.6369327306747437,0.8214897811412811,1.9007517099380493]","[-2.181532144546509,-0.2773672640323639,-1.0110687017440796]","[1.4554005861282349,0.5441225171089172,0.8896830081939697]",dzobj_rhb13ec8xw,akm.p3d,object_token_path_family,dz/weapons/firearms/akm,images/weapons/firearms/dzweaponsfirearmsakmakm.p3d.png,Raw P3D,"[3.6369327306747437,0.8214897811412811,1.9007517099380493]"
dzobj_1u6gw6dd03,AKS74U,Config,dz/weapons/firearms/ak74,images/weapons/firearms/aks74u.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[2.0854464173316956,0.8214897811412811,1.999396562576294]","[-0.45632559061050415,-0.2773672640323639,-1.0083345174789429]","[1.6291208267211914,0.5441225171089172,0.9910620450973511]",dzobj_su1t5lnvlw,aks74u.p3d,exact_image,dz/weapons/firearms/ak74,images/weapons/firearms/aks74u.jpg,Raw P3D,"[2.0854464173316956,0.8214897811412811,1.999396562576294]"
dzobj_bt65lso78r,AKS74U_Black,Config,dz/weapons/firearms/ak74,images/weapons/firearms/aks74u.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[2.0854464173316956,0.8214897811412811,1.999396562576294]","[-0.45632559061050415,-0.2773672640323639,-1.0083345174789429]","[1.6291208267211914,0.5441225171089172,0.9910620450973511]",dzobj_su1t5lnvlw,aks74u.p3d,exact_image,dz/weapons/firearms/ak74,images/weapons/firearms/aks74u.jpg,Raw P3D,"[2.0854464173316956,0.8214897811412811,1.999396562576294]"
dzobj_ut2trwfqwc,AKS74U_Green,Config,dz/weapons/firearms/ak74,images/weapons/firearms/aks74u.jpg,linked_from_raw_p3d,bbox_linked_p3d,"[2.0854464173316956,0.8214897811412811,1.999396562576294]","[-0.45632559061050415,-0.2773672640323639,-1.0083345174789429]","[1.6291208267211914,0.5441225171089172,0.9910620450973511]",dzobj_su1t5lnvlw,aks74u.p3d,exact_image,dz/weapons/firearms/ak74,images/weapons/firearms/aks74u.jpg,Raw P3D,"[2.0854464173316956,0.8214897811412811,1.999396562576294]"
