id,objectName,modelType,path,image,category,searchTags,dimensionsSource,baseVariantKey,pathFamily,candidateStatus,candidateMethod,candidateConfidence,candidateCount,donorId,donorObjectName,donorPath,donorImage,donorDimensionsVisual,notes
dzobj_2ovsiqy8q9,Absolute90s,Config,dz/gear/radio,images/gear/radio/absolute90s.jpg,gear,"audio, communication, gear, radio",estimated_tags,absolute90s,dz/gear/radio,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_oh20206k8h,AgaricusMushroom,Config,dz/gear/food,images/gear/food/agaricusmushroom.jpg,gear,"field, food, gear, foraging, woods",estimated_tags,agaricusmushroom,dz/gear/food,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_32yw8j61uu,AK_Bayonet,Config,dz/weapons/attachments/muzzle,images/weapons/attachments/muzzle/ak_bayonet.jpg,weapons,"KA, knife, ak47, ak74",estimated_tags,ak bayonet,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_1hoe7blaev,AK_FoldingBttstck,Config,dz/weapons/attachments/support,images/weapons/attachments/support/ak_foldingbttstck.jpg,weapons,"ka-74, ak-74",estimated_tags,ak foldingbttstck,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_toz8fpmm2i,AK_FoldingBttstck_Black,Config,dz/weapons/attachments/support,images/weapons/attachments/support/ak_foldingbttstck.jpg,weapons,"ka-74, ak-74",estimated_tags,ak foldingbttstck,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_421bcfuait,AK_FoldingBttstck_Green,Config,dz/weapons/attachments/support,images/weapons/attachments/support/ak_foldingbttstck.jpg,weapons,"ka-74, ak-74",estimated_tags,ak foldingbttstck,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_voeonefron,AK_PlasticBttstck,Config,dz/weapons/attachments/support,images/weapons/attachments/support/ak_plasticbttstck.jpg,weapons,"ka-74, ak-74",estimated_tags,ak plasticbttstck,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_ejdhye6gyg,AK_PlasticBttstck_Black,Config,dz/weapons/attachments/support,images/weapons/attachments/support/ak_plasticbttstck.jpg,weapons,"ka-74, ak-74",estimated_tags,ak plasticbttstck,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_9xux2q8jul,AK_PlasticBttstck_Green,Config,dz/weapons/attachments/support,images/weapons/attachments/support/ak_plasticbttstck.jpg,weapons,"ka-74, ak-74",estimated_tags,ak plasticbttstck,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_ywbubd28gp,AK_PlasticHndgrd,Config,dz/weapons/attachments/support,images/weapons/attachments/support/ak_plastichndgrd.jpg,weapons,"attachments, handguard, ka, polymer, support, weapon, weapons",estimated_tags,ak plastichndgrd,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_08shjncn44,AK_RailHndgrd,Config,dz/weapons/attachments/support,images/weapons/attachments/support/ak_railhndgrd.jpg,weapons,"ka-74, ak-74",estimated_tags,ak railhndgrd,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_1148g6mouy,AK_RailHndgrd_Black,Config,dz/weapons/attachments/support,images/weapons/attachments/support/ak_railhndgrd.jpg,weapons,"ka-74, ak-74",estimated_tags,ak railhndgrd,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
dzobj_1pqbl7zznb,AK_RailHndgrd_Green,Config,dz/weapons/attachments/support,images/weapons/attachments/support/ak_railhndgrd.jpg,weapons,"ka-74, ak-74",estimated_tags,ak railhndgrd,dz/weapons/attachments,no_candidate,,,0,,,,,,No raw p3d donor found by variant-base heuristics.
