objectName,image,path,category
Animal_BosTaurus_Spotted,images/animals/bos_taurus/animal_bostaurus_brown/animal_bostaurus_spotted.jpg,dz/animals/bos_taurus,animal
Animal_BosTaurus_White,images/animals/bos_taurus/animal_bostaurus_brown/animal_bostaurus_white.jpg,dz/animals/bos_taurus,animal
LeatherBelt_Natrual,images/characters/belts/leatherbelt_natrual/leatherbelt_natrual.jpg,dz/characters/belts,characters
belt_leather_g.p3d,images/characters/belts/belt_leather_g.p3d.jpg,dz/characters/belts,characters
civ_belt_g.p3d,images/characters/belts/civ_belt_g.p3d.jpg,dz/characters/belts,characters
hippack_g.p3d,images/characters/belts/hippack_g.p3d.jpg,dz/characters/belts,characters
knife_holster_g.p3d,images/characters/belts/knife_holster_g.p3d.jpg,dz/characters/belts,characters
leather_quiver_g.p3d,images/characters/belts/leather_quiver_g.p3d.jpg,dz/characters/belts,characters
mil_belt_g.p3d,images/characters/belts/mil_belt_g.p3d.jpg,dz/characters/belts,characters
nylon_knifesheath.p3d,images/characters/belts/nylon_knifesheath.p3d.jpg,dz/characters/belts,characters
nylon_toolholder.p3d,images/characters/belts/nylon_toolholder.p3d.jpg,dz/characters/belts,characters
rope_belt_g.p3d,images/characters/belts/rope_belt_g.p3d.jpg,dz/characters/belts,characters
LeatherBelt_Natural,images/characters/belts/leatherbelt_natrual/leatherbelt_natrual.jpg,dz/characters/belts,characters
bodyparts_above0.p3d,,/dz/characters/bodies,bodies
Ushanka_Green,images/characters/headgear/ushanka_green/ushanka_green.jpg,dz/characters/headgear,characters
SkateHelmet_Green,images/characters/headgear/skatehelmet_green/skatehelmet_green.jpg,dz/characters/headgear,characters
budenovka_g.p3d,images/characters/headgear/budenovka_g.p3d.jpg,dz/characters/headgear,characters
maska_glass_g.p3d,images/characters/headgear/maska_glass_g.p3d.jpg,dz/characters/headgear,characters
petushokhat_g.p3d,images/characters/headgear/petushokhat.jpg,dz/characters/headgear,characters
shemaghybrid_g.p3d,images/characters/headgear/shemaghybrid_g.p3d.jpg,dz/characters/headgear,characters
wintercoif_g.p3d,images/characters/headgear/wintercoif_g.p3d.jpg,dz/characters/headgear,characters
witchhoodcoif_g.p3d,images/characters/headgear/witchhoodcoif_g.p3d.jpg,dz/characters/headgear,characters
Head_Default,images/characters/heads/head_default.jpg,dz/characters/heads,characters
FemaleFridaHead,images/characters/heads/femalefridahead.jpg,dz/characters/heads,characters
FemaleGabiHead,images/characters/heads/femalegabihead.jpg,dz/characters/heads,characters
FemaleHelgaHead,images/characters/heads/femalehelgahead.jpg,dz/characters/heads,characters
FemaleIrenaHead,images/characters/heads/femaleirenahead.jpg,dz/characters/heads,characters
FemaleJudyHead,images/characters/heads/femalejudyhead.jpg,dz/characters/heads,characters
FemaleKeikoHead,images/characters/heads/femalekeikohead.jpg,dz/characters/heads,characters
FemaleLindaHead,images/characters/heads/femalelindahead.jpg,dz/characters/heads,characters
FemaleMariaHead,images/characters/heads/femalemariahead.jpg,dz/characters/heads,characters
FemaleNaomiHead,images/characters/heads/femalenaomihead.jpg,dz/characters/heads,characters
FemaleEvaHead,images/characters/heads/femaleevahead.jpg,dz/characters/heads,characters
FemaleBatyHead,images/characters/heads/femalebatyhead.jpg,dz/characters/heads,characters
MaleAdamHead,images/characters/heads/maleadamhead.jpg,dz/characters/heads,characters
MaleBorisHead,images/characters/heads/maleborishead.jpg,dz/characters/heads,characters
MaleCyrilHead,images/characters/heads/malecyrilhead.jpg,dz/characters/heads,characters
MaleDenisHead,images/characters/heads/maledenishead.jpg,dz/characters/heads,characters
MaleEliasHead,images/characters/heads/maleeliashead.jpg,dz/characters/heads,characters
MaleFrancisHead,images/characters/heads/malefrancishead.jpg,dz/characters/heads,characters
MaleGuoHead,images/characters/heads/maleguohead.jpg,dz/characters/heads,characters
MaleHassanHead,images/characters/heads/malehassanhead.jpg,dz/characters/heads,characters
MaleIndarHead,images/characters/heads/maleindarhead.jpg,dz/characters/heads,characters
MaleJoseHead,images/characters/heads/malejosehead.jpg,dz/characters/heads,characters
MaleKaitoHead,images/characters/heads/malekaitohead.jpg,dz/characters/heads,characters
MaleLewisHead,images/characters/heads/malelewishead.jpg,dz/characters/heads,characters
MaleManuaHead,images/characters/heads/malemanuahead.jpg,dz/characters/heads,characters
MaleNikiHead,images/characters/heads/malenikihead.jpg,dz/characters/heads,characters
MaleOliverHead,images/characters/heads/maleoliverhead.jpg,dz/characters/heads,characters
MalePeterHead,images/characters/heads/malepeterhead.jpg,dz/characters/heads,characters
MaleQuinnHead,images/characters/heads/malequinnhead.jpg,dz/characters/heads,characters
MaleRolfHead,images/characters/heads/malerolfhead.jpg,dz/characters/heads,characters
MaleSethHead,images/characters/heads/malesethhead.jpg,dz/characters/heads,characters
MaleTaikiHead,images/characters/heads/maletaikihead.jpg,dz/characters/heads,characters
FemaleFridaHead,images/characters/heads/femalefridahead.jpg,dz/characters/heads,characters
FemaleGabiHead,images/characters/heads/femalegabihead.jpg,dz/characters/heads,characters
FemaleHelgaHead,images/characters/heads/femalehelgahead.jpg,dz/characters/heads,characters
FemaleIrenaHead,images/characters/heads/femaleirenahead.jpg,dz/characters/heads,characters
FemaleJudyHead,images/characters/heads/femalejudyhead.jpg,dz/characters/heads,characters
FemaleKeikoHead,images/characters/heads/femalekeikohead.jpg,dz/characters/heads,characters
FemaleLindaHead,images/characters/heads/femalelindahead.jpg,dz/characters/heads,characters
FemaleMariaHead,images/characters/heads/femalemariahead.jpg,dz/characters/heads,characters
FemaleNaomiHead,images/characters/heads/femalenaomihead.jpg,dz/characters/heads,characters
FemaleEvaHead,images/characters/heads/femaleevahead.jpg,dz/characters/heads,characters
MaleAdamHead,images/characters/heads/maleadamhead.jpg,dz/characters/heads,characters
MaleBorisHead,images/characters/heads/maleborishead.jpg,dz/characters/heads,characters
MaleCyrilHead,images/characters/heads/malecyrilhead.jpg,dz/characters/heads,characters
MaleDenisHead,images/characters/heads/maledenishead.jpg,dz/characters/heads,characters
MaleEliasHead,images/characters/heads/maleeliashead.jpg,dz/characters/heads,characters
MaleFrancisHead,images/characters/heads/malefrancishead.jpg,dz/characters/heads,characters
MaleGuoHead,images/characters/heads/maleguohead.jpg,dz/characters/heads,characters
MaleHassanHead,images/characters/heads/malehassanhead.jpg,dz/characters/heads,characters
MaleIndarHead,images/characters/heads/maleindarhead.jpg,dz/characters/heads,characters
