,id,objectName,inGameName,path,modelType,linked_p3d_current,expected_linked_p3d_class_candidates,expected_linked_p3d_id_candidates,linked_variant_count,searchTags
,dzobj_14ftda7uj6,SurvivorM_Mirek,-,/dz/characters/bodies,Config,,m_kaito.p3d|f_gabi_2.p3d|m_indar.p3d|f_eva_2.p3d|m_taiki.p3d|m_cyril.p3d|m_lewis.p3d|m_manua.p3d|m_seth.p3d|m_guo.p3d|m_boris.p3d|m_elias.p3d|m_denis_2.p3d|f_linda_2.p3d|f_maria_2.p3d|m_francis.p3d|m_niki_2.p3d|f_naomi.p3d|f_irena_2.p3d|f_frida_2.p3d|m_quinn.p3d|m_jose.p3d|m_peter.p3d|m_oliver.p3d|m_hassan.p3d|f_keiko.p3d|f_helga.p3d|f_baty.p3d|m_rolf.p3d|f_judy.p3d,dzobj_15lugiz3au|dzobj_15t50o7g9b|dzobj_48uzbxpxta|dzobj_73n67qqezr|dzobj_93vmhtthly|dzobj_9j3p930g2i|dzobj_9tj9qvudkn|dzobj_9wn543jxdu|dzobj_b5e7vvp0tb|dzobj_c0bs85jr3h|dzobj_cjwpkbfvfz|dzobj_ds5125lmaa|dzobj_f71vf2yg6g|dzobj_ihurvyoqmr|dzobj_j3xvrp984d|dzobj_mdkvd2shlp|dzobj_py1qbkhhnk|dzobj_q9xbvygah1|dzobj_rrru42du1z|dzobj_sqa3kqiqlg|dzobj_t4j9bkjv60|dzobj_td8jeagl7z|dzobj_th3fud44xo|dzobj_v34yde1mcg|dzobj_v5vvstyc2p|dzobj_vrtuewlwvr|dzobj_wvuslhejjc|dzobj_yqyk32bxft|dzobj_yzb5zvxtqv|dzobj_zw1wkjsrxk,0,"bodies, player, pc, male, man, loot"
y,dzobj_a45a1mfa9s,MilitaryBeret_CDF,Beret,dz/characters/headgear,Config,,militaryberet_chdkz_g.p3d|militaryberet_nz_g.p3d|militaryberet_un_g.p3d,dzobj_k15ctredha|dzobj_ro3s8b976u|dzobj_tibau1arr8,0,"armored, beret, headgear, military, uniform"
y,dzobj_0q3q3ui9iy,MilitaryBeret_Red,Beret,dz/characters/headgear,Config,,militaryberet_chdkz_g.p3d|militaryberet_nz_g.p3d|militaryberet_un_g.p3d,dzobj_k15ctredha|dzobj_ro3s8b976u|dzobj_tibau1arr8,0,"armored, beret, headgear, military, red, uniform"
y,dzobj_p6nh75f46t,ChristmasHeadband_Antlers,Festive Headband,dz/characters/headgear,Config,,christmasheadband_trees_g.p3d|christmasheadband_gingerbread_g.p3d,dzobj_k2jgob1x7x|dzobj_sbx0b40wwd,0,"festive, headgear"
y,dzobj_k1m3fvuc36,ChristmasHeadband_Lights_Antlers,Festive Headband,dz/characters/headgear,Config,,christmasheadband_trees_g.p3d|christmasheadband_gingerbread_g.p3d,dzobj_k2jgob1x7x|dzobj_sbx0b40wwd,0,"festive, headgear"
y,dzobj_yh9el2odrm,ChristmasHeadband_Lights_Gingerbread,Festive Headband,dz/characters/headgear,Config,,christmasheadband_trees_g.p3d|christmasheadband_gingerbread_g.p3d,dzobj_k2jgob1x7x|dzobj_sbx0b40wwd,0,"festive, headgear"
y,dzobj_u3wbky2bbb,ChristmasHeadband_Lights_Trees,Festive Headband,dz/characters/headgear,Config,,christmasheadband_trees_g.p3d|christmasheadband_gingerbread_g.p3d,dzobj_k2jgob1x7x|dzobj_sbx0b40wwd,0,"festive, headgear"
y,dzobj_6wps56qqt1,DarkMotoHelmet_Lime,Motorbike Helmet,dz/characters/headgear,Config,,motohelmet_scarred_ground.p3d|motohelmet_ground.p3d,dzobj_5yamsus7at|dzobj_v7uc44krci,1,"headgear, helmet, protective, lime"
y,dzobj_uo91mq1rvs,MotoHelmet_Lime,Motorbike Helmet,dz/characters/headgear,Config,,motohelmet_scarred_ground.p3d|motohelmet_ground.p3d,dzobj_5yamsus7at|dzobj_v7uc44krci,1,"headgear, helmet, lime, protective"
y,dzobj_03jdvjcod1,WitchHood_Brown,Witch Hood,dz/characters/headgear,Config,,witchhoodcoif_g.p3d|witchhood_g.p3d,dzobj_7qtckb3dts|dzobj_rg07c3fzpy,2,"seasonal, headgear, witch, halloween, spooky"
