class_name,file_path
piss_particle.p3d,database/data/data/ParticleEffects/Excretion/objects.json
shit_particle.p3d,database/data/data/ParticleEffects/Excretion/objects.json
vomit_blood_particle.p3d,database/data/data/ParticleEffects/Excretion/objects.json
vomit_particle.p3d,database/data/data/ParticleEffects/Excretion/objects.json
warheadstorage_top.p3d,database/structures_sakhal/military/storage/objects.json
milkbottle.p3d,database/gear/drinks/objects.json
sodacan.p3d,database/gear/drinks/objects.json
sodacan_used.p3d,database/gear/drinks/objects.json
vodkabottles.p3d,database/gear/drinks/objects.json
waterpouch.p3d,database/gear/drinks/objects.json
barrel_holes.p3d,database/gear/cooking/objects.json
cookingpot.p3d,database/gear/cooking/objects.json
gascooker.p3d,database/gear/cooking/objects.json
gaslight.p3d,database/gear/cooking/objects.json
log01.p3d,database/gear/cooking/objects.json
log01burned.p3d,database/gear/cooking/objects.json
log02.p3d,database/gear/cooking/objects.json
log02burned.p3d,database/gear/cooking/objects.json
log03.p3d,database/gear/cooking/objects.json
log03burned.p3d,database/gear/cooking/objects.json
oven.p3d,database/gear/cooking/objects.json
stone.p3d,database/gear/cooking/objects.json
stoneground.p3d,database/gear/cooking/objects.json
alarmclock.p3d,database/gear/tools/objects.json
canoe_paddle.p3d,database/gear/tools/objects.json
catle_prod.p3d,database/gear/tools/objects.json
cleaning_kit_wood.p3d,database/gear/tools/objects.json
csla_field_shovel.p3d,database/gear/tools/objects.json
doorcheck120x220-1cm.p3d,database/gear/tools/objects.json
electroniccase.p3d,database/gear/tools/objects.json
flanged_mace.p3d,database/gear/tools/objects.json
improvised_fish_trap.p3d,database/gear/tools/objects.json
metal_pipe.p3d,database/gear/tools/objects.json
pen.p3d,database/gear/tools/objects.json
pressure_monitor.p3d,database/gear/tools/objects.json
shippingcontainerkeys.p3d,database/gear/tools/objects.json
walkietalkie.p3d,database/gear/tools/objects.json
canvas.p3d,database/gear/camping/objects.json
christmas_lights.p3d,database/gear/camping/objects.json
combination_lock3.p3d,database/gear/camping/objects.json
dz_flag.p3d,database/gear/camping/objects.json
hbox.p3d,database/gear/camping/objects.json
hbox_base.p3d,database/gear/camping/objects.json
hbox_folded.p3d,database/gear/camping/objects.json
hbox_unfolded_empty.p3d,database/gear/camping/objects.json
hbox_unfolded_filled.p3d,database/gear/camping/objects.json
improvised_tent_01.p3d,database/gear/camping/objects.json
improvised_tent_02.p3d,database/gear/camping/objects.json
improvised_tent_g_01.p3d,database/gear/camping/objects.json
improvised_tent_g_02.p3d,database/gear/camping/objects.json
shelter_frame.p3d,database/gear/camping/objects.json
string_lights_p.p3d,database/gear/camping/objects.json
tent_cluttercutter.p3d,database/gear/camping/objects.json
tent_large_cluttercutter.p3d,database/gear/camping/objects.json
tent_medium_packed.p3d,database/gear/camping/objects.json
tent_medium_pitched.p3d,database/gear/camping/objects.json
t_fagussylvatica_2fmesh.p3d,database/gear/camping/objects.json
t_fagussylvatica_2fproxy.p3d,database/gear/camping/objects.json
wooden_case.p3d,database/gear/camping/objects.json
map_1stperson.p3d,database/gear/navigation/objects.json
map_chernarus.p3d,database/gear/navigation/objects.json
map_chernarus_animated.p3d,database/gear/navigation/objects.json
map_chernarus_open.p3d,database/gear/navigation/objects.json
landmine.p3d,database/gear/traps/objects.json
snaretrap.p3d,database/gear/traps/objects.json
tripwire.p3d,database/gear/traps/objects.json
tripwire_g.p3d,database/gear/traps/objects.json
cannabis_plant.p3d,database/gear/cultivation/objects.json
clutter_cutter_2m_x_2m.p3d,database/gear/cultivation/objects.json
clutter_cutter_6m_x_6m.p3d,database/gear/cultivation/objects.json
compost.p3d,database/gear/cultivation/objects.json
pepper_plant.p3d,database/gear/cultivation/objects.json
potatoes_seeds_pack.p3d,database/gear/cultivation/objects.json
potato_plant.p3d,database/gear/cultivation/objects.json
pumpkin_plant.p3d,database/gear/cultivation/objects.json
soil_cultivated.p3d,database/gear/cultivation/objects.json
tomato_plant.p3d,database/gear/cultivation/objects.json
zucchini_plant.p3d,database/gear/cultivation/objects.json
alfa.p3d,database/gear/medical/objects.json
bandage.p3d,database/gear/medical/objects.json
bloodbag_sealed.p3d,database/gear/medical/objects.json
cigarettes_lit.p3d,database/gear/medical/objects.json
cigarettes_unlit.p3d,database/gear/medical/objects.json
cigarette_pack.p3d,database/gear/medical/objects.json
dexamphetamine.p3d,database/gear/medical/objects.json
improvised_fixture.p3d,database/gear/medical/objects.json
improvised_fixture_f.p3d,database/gear/medical/objects.json
improvised_fixture_m.p3d,database/gear/medical/objects.json
med_tmeter.p3d,database/gear/medical/objects.json
painkillers2.p3d,database/gear/medical/objects.json
startkit.p3d,database/gear/medical/objects.json
tetracycline.p3d,database/gear/medical/objects.json
transfusionkit.p3d,database/gear/medical/objects.json
water_purification_tablets.p3d,database/gear/medical/objects.json
animal_guts.p3d,database/gear/food/objects.json
animal_smallguts.p3d,database/gear/food/objects.json
bait_worm.p3d,database/gear/food/objects.json
bakedbeans.p3d,database/gear/food/objects.json
bakedbeans_open.p3d,database/gear/food/objects.json
blueberries.p3d,database/gear/food/objects.json
boxcereal.p3d,database/gear/food/objects.json
candycane.p3d,database/gear/food/objects.json
canina_raw.p3d,database/gear/food/objects.json
can_sardines.p3d,database/gear/food/objects.json
can_sardines_open.p3d,database/gear/food/objects.json
eeg.p3d,database/gear/food/objects.json
foodcan_100g.p3d,database/gear/food/objects.json
foodcan_100g_open.p3d,database/gear/food/objects.json
foodcan_250g.p3d,database/gear/food/objects.json
foodcan_250g_open.p3d,database/gear/food/objects.json
food_can.p3d,database/gear/food/objects.json
food_can_open.p3d,database/gear/food/objects.json
food_can_proxied.p3d,database/gear/food/objects.json
gallus_gallus_female_dead.p3d,database/gear/food/objects.json
gallus_gallus_male_dead.p3d,database/gear/food/objects.json
human_meat.p3d,database/gear/food/objects.json
lepus_europaeus_dead.p3d,database/gear/food/objects.json
meat.p3d,database/gear/food/objects.json
meat_breast.p3d,database/gear/food/objects.json
meat_leg.p3d,database/gear/food/objects.json
meat_steak.p3d,database/gear/food/objects.json
mushroom_agaricus.p3d,database/gear/food/objects.json
mushroom_amanita.p3d,database/gear/food/objects.json
mushroom_auricularia.p3d,database/gear/food/objects.json
mushroom_boletus.p3d,database/gear/food/objects.json
mushroom_craterellus.p3d,database/gear/food/objects.json
mushroom_lactarius.p3d,database/gear/food/objects.json
