class_name,file_path,model_type,proposed_tags
SurvivorM_Mirek,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Boris,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Cyril,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Denis,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Elias,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Francis,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Guo,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Hassan,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Indar,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Jose,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Kaito,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Lewis,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Manua,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Niki,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Oliver,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Peter,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Quinn,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Rolf,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Seth,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorM_Taiki,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, male, man"
SurvivorF_Eva,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, female, women"
SurvivorF_Judy,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, female, women"
SurvivorF_Frida,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, female, women"
SurvivorF_Gabi,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, female, women"
SurvivorF_Helga,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, female, women"
SurvivorF_Irena,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, female, women"
SurvivorF_Keiko,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, female, women"
SurvivorF_Linda,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, female, women"
SurvivorF_Maria,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, female, women"
SurvivorF_Naomi,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, female, women"
SurvivorF_Baty,database/characters/bodies/objects.json,Config,"bodies, characters, player, pc, female, women"
bodyparts_above0.p3d,database/characters/bodies/objects.json,Raw P3D,[REMOVE ENTRY]
Head_Default,database/characters/heads/objects.json,Config,"characters, face, heads"
FemaleFridaHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleGabiHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleHelgaHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleIrenaHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleJudyHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleKeikoHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleLindaHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleMariaHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleNaomiHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleEvaHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleBatyHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
MaleAdamHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleBorisHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleCyrilHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleDenisHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleEliasHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleFrancisHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleGuoHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleHassanHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleIndarHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleJoseHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleKaitoHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleLewisHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleManuaHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleNikiHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleOliverHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MalePeterHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleQuinnHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleRolfHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleSethHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleTaikiHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
FemaleFridaHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleGabiHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleHelgaHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleIrenaHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleJudyHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleKeikoHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleLindaHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleMariaHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleNaomiHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
FemaleEvaHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, woman"
MaleAdamHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleBorisHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleCyrilHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleDenisHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleEliasHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleFrancisHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleGuoHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleHassanHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleIndarHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleJoseHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleKaitoHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleLewisHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleManuaHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleNikiHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleOliverHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MalePeterHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleQuinnHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleRolfHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleSethHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
MaleTaikiHead,database/characters/heads/objects.json,Config,"characters, heads, face, character, pc, player, man"
f_baty.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
f_eva_2.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
f_frida_2.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
f_gabi_2.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
f_helga.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
f_irena_2.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
f_judy.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
f_keiko.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
f_linda_2.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
f_maria_2.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
f_naomi.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_adam.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_boris.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_cyril.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_denis_2.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_elias.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_francis.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_guo.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_hassan.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_indar.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_jose.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_kaito.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_lewis.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_manua.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_niki_2.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_oliver.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_peter.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_quinn.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_rolf.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_ruslan.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_seth.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
m_taiki.p3d,database/characters/heads/objects.json,Raw P3D,[MATCH TO CONFIG]
WeldingMask,database/characters/masks/objects.json,Config,"characters, face, masks, protection"
GasMask,database/characters/masks/objects.json,Config,"characters, combat, face, fuel, masks, protection, station"
NioshFaceMask,database/characters/masks/objects.json,Config,"characters, dust, masks, protection"
BalaclavaMask_BDU,database/characters/masks/objects.json,Config,"characters, face, masks, protection, ski, bank robbery"
BalaclavaMask_Beige,database/characters/masks/objects.json,Config,"characters, face, masks, protection, ski, bank robbery"
BalaclavaMask_Black,database/characters/masks/objects.json,Config,"characters, face, masks, protection, ski, bank robbery"
BalaclavaMask_Blackskull,database/characters/masks/objects.json,Config,"characters, face, masks, protection, ski, bank robbery"
BalaclavaMask_Blue,database/characters/masks/objects.json,Config,"characters, face, masks, protection, ski, bank robbery"
BalaclavaMask_Chain,database/characters/masks/objects.json,Config,"characters, face, masks, protection, ski, bank robbery"
BalaclavaMask_Green,database/characters/masks/objects.json,Config,"characters, face, masks, protection, ski, bank robbery"
BalaclavaMask_Pig,database/characters/masks/objects.json,Config,"characters, face, masks, protection, ski, bank robbery"
BalaclavaMask_Pink,database/characters/masks/objects.json,Config,"characters, face, masks, protection, ski, bank robbery"
BalaclavaMask_White,database/characters/masks/objects.json,Config,"characters, face, masks, protection, ski, bank robbery"
PaydayMask_Dallas,database/characters/masks/objects.json,Config,"characters, face, masks, protection, bank robbery"
PaydayMask_Hoxton,database/characters/masks/objects.json,Config,"characters, face, masks, protection, bank robbery"
PaydayMask_Wolf,database/characters/masks/objects.json,Config,"characters, face, masks, protection, bank robbery"
PaydayMask_Chains,database/characters/masks/objects.json,Config,"characters, face, masks, protection, bank robbery"
GP5GasMask,database/characters/masks/objects.json,Config,"characters, face, fuel, masks, protection, NBC, respirator"
AirborneMask,database/characters/masks/objects.json,Config,"characters, face, masks, nbc, protection, respirator"
Balaclava3Holes_Beige,database/characters/masks/objects.json,Config,"characters, masks, bank robbery"
Balaclava3Holes_Black,database/characters/masks/objects.json,Config,"characters, masks, bank robbery"
Balaclava3Holes_Blue,database/characters/masks/objects.json,Config,"characters, masks, bank robbery"
Balaclava3Holes_Green,database/characters/masks/objects.json,Config,"characters, masks, bank robbery"
Balaclava3Holes_White,database/characters/masks/objects.json,Config,"characters, masks, bank robbery"
SantasBeard,database/characters/masks/objects.json,Config,"characters, masks, santa, festive, seasonal christmas"
SurgicalMask,database/characters/masks/objects.json,Config,"characters, face, masks, protection, medical, covering, covid"
HockeyMask,database/characters/masks/objects.json,Config,"characters, face, masks, protection, sports"
MimeMask_Male,database/characters/masks/objects.json,Config,"characters, face, masks, protection, creepy"
CrookedNose,database/characters/masks/objects.json,Config,"characters, masks, halloween, witch, seasonal"
FaceCover_Improvised,database/characters/masks/objects.json,Config,"characters, masks, wrapping, rags"
airborne_mask_f.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
airborne_mask_g.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
airborne_mask_m.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
balaclava_3holes_f.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
balaclava_3holes_g.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
balaclava_3holes_m.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
balaclava_f.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
balaclava_g.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
balaclava_m.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
bandanaface_f.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
bandanaface_g.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
bandanaface_m.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
chainsmask_f.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
chainsmask_g.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
chainsmask_m.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
crookednose_f.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
crookednose_g.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
crookednose_m.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
dallasmask_f.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
dallasmask_g.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
dallasmask_m.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
facecover_improvised_f.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
facecover_improvised_g.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
facecover_improvised_m.p3d,database/characters/masks/objects.json,Raw P3D,[MATCH TO CONFIG]
